B,31056545.75,7862332.226
B,31047284.65,7855637.843
B,31047768.76,7855188.613
B,31047972.63,7855038.903
B,31048340.89,7854817.058
B,31049713.78,7854201.052
B,31050739,7853716.134
B,31049895.83,7853820.387
B,31047770.82,7853619.309
B,31050869.22,7853467.523
B,31047219.74,7853543.565
B,31048573.33,7853593.536
B,31033336.91,7852856.626
B,31051180.4,7852281.164
B,31051643.57,7851950.279
B,31051558.82,7851543.969
B,31031202.29,7850902.297
B,31030026.62,7850364.226
B,31030474.06,7850384.916
B,31048197.67,7846631.991
B,31047606.79,7846574.459
B,31047263.53,7844824.266
B,31049008.99,7844182.912
B,31048497.04,7843773.921
B,31048260.68,7843923.179
B,31049314.62,7843659.121
B,31049090.83,7842654.525
B,31049241.71,7842320.059
B,31049384.58,7840821.083
B,31049697.04,7839900.06
B,31049515.05,7839690.381
B,31049687.03,7839419.14
B,31049684.23,7839167.789
B,31049707.83,7838710.324
B,31045550.07,7838461.939
B,31046573.23,7834847.044
B,31040500.04,7834297.734
B,31040432.7,7833316.22
B,31055937.53,7859387.896
B,31056610.15,7858884.106
B,31058108.1,7858433.925
B,31058200.84,7857979.655
B,31046964.78,7857303.655
B,31039061.27,7832744.45
B,31039156.88,7826767.156
B,31031560.57,7826006.746
B,31040445.82,7825610.885
B,31038956.39,7824985.345
B,31036263.59,7824951.837
B,31031335.38,7825562.298
B,31039380.21,7824834.579
B,31040410.32,7824644.49
B,31030089.01,7824432.638
B,31040475.12,7824196.942
B,31040303.44,7824117.959
B,31031531.38,7823697.562
B,31021423.34,7823327.464
B,31025620.47,7822862.64
B,31025506.42,7822630.699
B,31025115.46,7822662.087
B,31024177.97,7822543.182
B,31024808.48,7822465.768
B,31036066.39,7828360.593
B,31035430.74,7828450.986
B,31030363.37,7825350.585
B,31032329.51,7825454.465
B,31027970.62,7823770.596
B,31040634.46,7825638.261
B,31018565.03,7849450.979
B,31027793.96,7849111.372
B,31018451.38,7848986.442
B,31026616.41,7848208.318
B,31026190.36,7847937.312
B,31018569.98,7847834.597
B,31025607.23,7847555.016
B,31018764.8,7847462.552
B,31026237.79,7847629.905
B,31027863.89,7847499.42
B,31018950.9,7847239.821
B,31027148.71,7847179.405
